ID Participante;Desafio- Reflexión;Expectativa
Participante 65;actualmente solicitamos un estudio para calcular las tasas de proyección de la venta, sin embargo, la idea de esto es reducir el impacto monetario que este tiene sobre la compañía, la idea es crear un modelo que nos ayude a predecir la venta en el corto, mediano y largo plazo con tres escenarios (pesimista, esperado y optimista), la idea es tomar la data historia e implementarlo en un modelo donde se cargue mensualmente la venta para poder ir visualizando los diferentes escenarios conforme se mueve la tendencia de la venta.;me gustaría indagar bastante en el como funcionan y como se manejan las herramientas puesto que es necesario hoy en día tener libertad de arquitectura digital, para la elaboración de nuevos proyectos/desarrollos que pueden ser de gran ayuda en la implementación de análisis de datos.
Participante 66;por el momento ninguno pero abierto a aprender;aprender lo más que pueda
Participante 67;No registrado / No aplica;quiero aprender al máximo como se usa el programa y así implementar el conocimiento en mis actividades mejorando tiempo de análisis y tratamiento de datos.
Participante 68;Utilizar un Warehouse en Fabric con estructura medallon para almacenar entradas y salidas de simulaciones eléctricas. Para esto usé python y SQL para intercambiar datos entre Fabric y un software de simulación eléctrica corriendo en local.;Arquitectura de datos, optimización y machine learning en Fabric.
Participante 69;He realizado reportes de PowerBI Conectados a Archivos en Excel;Entender como trabajar con los Data Lake con data no estructurada y poder generar reportes conectados a fuentes o dominios de datos existentes de la compañia.
Participante 70;Generación de reportes para balances de energía asociados a medidas de trasnferencias económicas. La solución que se tiene implementadas son dashboard con Qlik Sense y reportería con Nprinting.;Salir con la capacidad de armar un flujo automatizado de dashboard y reportes que sean capaz de actualizarse sólos y generarse sólos. En particular todo lo que tengo generado con Qlik Sense poder hacer el traspaso ya que Qlik Sense ya no posee soporte en la compañía.
Participante 71;Administrar y reducir la carga manual en el procesamiento de reportes y paneles gerenciales. Para resolverlo desarrolle consultas query en powerbi que automatizaron la limpieza de los datos, disminuyendo el trabajo manual y errores por malos cálculos. Además de reducir carga manual de datos y consolidar un archivo que consolide la información a través de Python.;Aprender y consolidar conocimientos teóricos para aplicarlos de forma autónoma y adecuada a las necesidades del área y compañía.
Participante 72;Más que nada la baja apacidad de recursos de los equipos, qué muchas veces se ve afectado el trabajo de csv con gran cantidad de datos.;Potenciar los conocimientos de la metodología medallion y el uso de Data Lakes.
Participante 73;La implementación de un power bi para un pnael de emisión y recepción.;Aprender a hacer reportes y manejo de datos de manera eficiente
Participante 74;Al iniciar funciones en mi cargo habian muchos reportes que se trabajaban de forma manual, entonces se debía automatizar las planillas para enviarlas mes a mes. Se soluciono en parte, se automatizó usando powerquery.;Que vaya desde lo básico a lo más completo.
Participante 75;Un desafío técnica que se me presentó fue reducir los tiempos de actualización del proceso Outllok 6+6, dado que en este se deben utilizar los gastos reales del mes, sin embargo la información se comienza a trabajar mucho antes de que un mes esté contablemente cerrado, por lo que la conexión y la actualización de datos diaria fue un gran desafío.;Las expectativas que tengo es superar más allá todo lo conceptual y aplicarlo en la realidad en todos mis procesos que hago día a día, descubrir esta nueva herramienta y cómo me ayudaría en mis tareas diarias o grandes procesos que llevamos como área de tal forma de eficientar aún más nuestras tareas y procesos y como somos una fuente de alimentación para las demás áreas poder mostrar nuestros datos de mejor manera.
Participante 76;con gobierno de datos , existe un rigido control del input de datos. limitando los modelos que uno planea hacer. creo que educandonos, y enseñando el como y como no afectar los procesos;aprender del correcto uso de fabric
Participante 77;Trabajo actualmente con muchos datos en diferentes excel, mi desafío durante esté tiempo ha sido reducir y automatizar reportes en Power Bi;Fortalecer mis conocimientos considerando que sé utilizar Power Bi nivel medio, aprender soluciones que me permitan mayor automatización, y hacer mis trabajo más eficiente
Participante 78;Uno de los desafíos técnicos que enfrenté en Grupo Saesa fue la automatización de procesos asociados a la reportabilidad y a la gestión de información operativa. Para abordarlo, desarrollamos reportes en Power BI y automatizamos la extracción de datos directamente desde la base de datos de nuestro software de producto técnico, mediante consultas que permitieron disponer de información actualizada y reducir el trabajo manual. Además, utilizamos Power Apps para digitalizar y estandarizar el ingreso de información, y Python para automatizar la carga de archivos probatorios en la plataforma de la SEC. Estas soluciones permitieron disminuir los tiempos de ejecución, reducir errores manuales y mejorar la trazabilidad, consistencia y disponibilidad de la información para la toma de decisiones.;Mi expectativa es adaptarme a las nuevas herramientas y aprovechar todo su potencial para automatizar procesos, mejorar la reportabilidad y aportar a una toma de decisiones más eficiente.
Participante 79;Creación de un modelo de complejidades para pagar bonos de productividad usando un modelo Random Forest que determina cuanto demorara una brigada en un trabajo, usando métodos de cross validation y data splitting para la predicción, todo esto usando pyspark y sql;Aprender mas sobre las tecnologias que ofrece Microsoft Fabric
Participante 80;Lideré la migración de reportes de Microsoft Excel a Power BI en la Gerencia Tx, mediante el uso de Power Query y Python. Como la mayoría de los colaboradores usa como herramienta principal de gestión y almacenamiento de datos Microsoft Excel, se implementó una estrategia que se acomode al trabajo diario de las personas, que la actualización sea fácil y rápida y que la verificación de datos tarde lo menos posible. Para ello, se utilizó Python para la recolección y transformación de datos, extrayendo información desde SAP y las planillas Excel en las que trabajan los colaboradores, sin realizar cambios en su gestión diaria, y transformándola en formatos que se acomode a la lectura del Power Query. Esto permitió tener actualizaciones rápidas, inclusive si se realizaban cambios en la configuración o en las bases de datos.;Generar una visión más estratégica de analítica para la toma de decisiones. Por mi parte, ya empezar a dejar de ser la persona que ejecuta y desarrolla los modelos de datos, y ser la persona que crea la estrategia y define los lineamientos para que el proceso se lleve a cabo correctamente.
Participante 81;oportunidad de obtener mayor conocimiento para mejorar la gestión y desarrollar mejores presentaciones para la gestión diaria.;No registrado / No aplica
Participante 82;Un desafío técnico enfrento es el poder estandarizar la información que llega, nosotros como área recibimos la información en mucho formatos distintos por ejemplo correos con tablas, excel, imágenes. Tengo como desafío el poder estandarizar la recepción de la información sin tener que interferir con los procesos de los colaboradores.;Tengo como expectativa el poder adquirir nuevos conocimientos, que me ayuden a generar valor y apoyar a mis compañeros.
Participante 83;Principalmente centralizar datos y diseñar una arquitectura medallón para una aplicación en específico, la cual fue adaptable al resto de aplicaciones y modelos de datos que se diseñaron en el area;Adquirir conocimientos de implementación de soluciones corporativas y de negocio. Además de completar una formación técnica orientada hacia la optimización del uso de los componentes de Fabric
Participante 84;Tengo actualmente reportes que se alimentan de excel que están en sharepoint, me gustaría poder almacenar todo en Sharepoint y mis reportes con una actualización eficiente y diaria, directa a dominios de datos o SAP para buscar la calidad de la información en la Tesorería de SAESA;Poder utilizar Fabric para mantener los reportes de tesorería en una alta calidad
Participante 85;Por ahora no he trabajado con grandes cantidades de datos, pero si con distintas características de los datos, por lo que para tener un procesamiento rápido y fácil solo se ha utilizado excel;Me gustaría poder aplicar estas cosas en mi trabajo para que otros usuarios de los datos tengan acceso directo y sea más facil la revisión de los datos
Participante 86;No tengo experiencia con reporteria de este nivel, soy un usuario completamente nuevo en este mundo de Fabric.;Aprender desde 0 para poder entender y aplicar conocimiento
Participante 87;Desarrollo de funcionalidades asociadas a modificación de archivos de un Sharepoint mediante Notebook. Debido a condiciones de acceso y credenciales, tuve que obtener un key bearer temporal para la ejecución del archivo, sin embargo, no pude automatizarlo con una conexión.;Manipulación de datos. Desarrollo y explotación de automatizaciones. Aplicación de la arquitectura Medallion en mi espacio de trabajo actual.
